step,loss,tag,run
0,2.6510465145111084,Loss/Batch,events.out.tfevents.1753357516.0031aa403a5c.5658.3
0,2.616042375564575,Loss/Batch,events.out.tfevents.1753390655.ed0779e880a2.1826.0
0,2.6483876705169678,Loss/Batch,events.out.tfevents.1753439038.632bc7009bee.7929.0
0,2.622450590133667,Loss/Batch,events.out.tfevents.1753472434.65f1a4efc397.2247.1
0,1.101367712020874,Loss/Batch,events.out.tfevents.1753520782.a95126dcb42f.3012.1
0,1.241696834564209,Loss/Batch,events.out.tfevents.1753537531.13604414a22d.1972.0
0,2.221961259841919,Loss/Batch,events.out.tfevents.1753618944.ba339405f599.4380.0
1,2.6856939792633057,Loss/Batch,events.out.tfevents.1753357516.0031aa403a5c.5658.3
1,2.6037325859069824,Loss/Batch,events.out.tfevents.1753390655.ed0779e880a2.1826.0
1,2.6431760787963867,Loss/Batch,events.out.tfevents.1753439038.632bc7009bee.7929.0
1,2.6842074394226074,Loss/Batch,events.out.tfevents.1753472434.65f1a4efc397.2247.1
1,1.7962757349014282,Loss/Batch,events.out.tfevents.1753520782.a95126dcb42f.3012.1
1,1.6429461240768433,Loss/Batch,events.out.tfevents.1753537531.13604414a22d.1972.0
1,1.6094393730163574,Loss/Batch,events.out.tfevents.1753618944.ba339405f599.4380.0
2,2.697319746017456,Loss/Batch,events.out.tfevents.1753357516.0031aa403a5c.5658.3
2,2.644340991973877,Loss/Batch,events.out.tfevents.1753390655.ed0779e880a2.1826.0
2,2.6755456924438477,Loss/Batch,events.out.tfevents.1753439038.632bc7009bee.7929.0
2,2.6811254024505615,Loss/Batch,events.out.tfevents.1753472434.65f1a4efc397.2247.1
2,1.6754859685897827,Loss/Batch,events.out.tfevents.1753520782.a95126dcb42f.3012.1
2,1.2359354496002197,Loss/Batch,events.out.tfevents.1753537531.13604414a22d.1972.0
2,1.4851471185684204,Loss/Batch,events.out.tfevents.1753618944.ba339405f599.4380.0
3,2.5325825214385986,Loss/Batch,events.out.tfevents.1753357516.0031aa403a5c.5658.3
3,2.5865681171417236,Loss/Batch,events.out.tfevents.1753390655.ed0779e880a2.1826.0
3,2.4476122856140137,Loss/Batch,events.out.tfevents.1753439038.632bc7009bee.7929.0
3,2.664182662963867,Loss/Batch,events.out.tfevents.1753472434.65f1a4efc397.2247.1
3,1.4641177654266357,Loss/Batch,events.out.tfevents.1753520782.a95126dcb42f.3012.1
3,1.4450231790542603,Loss/Batch,events.out.tfevents.1753537531.13604414a22d.1972.0
3,1.7038496732711792,Loss/Batch,events.out.tfevents.1753618944.ba339405f599.4380.0
4,2.630427837371826,Loss/Batch,events.out.tfevents.1753357516.0031aa403a5c.5658.3
4,2.6950557231903076,Loss/Batch,events.out.tfevents.1753390655.ed0779e880a2.1826.0
